"%s was successfully added to your shopping cart.","Produkt %s został dodany do Twojego koszyka."
"Please agree to all Terms and Conditions before placing the order.","Musisz zgodzić się z ogólnymi warunkami składania zamówienia zanim złożysz zamówienie."
"Please agree to all Terms and Conditions before placing the orders.","Musisz zgodzić się z ogólnymi warunkami składania zamówienia zanim złożysz zamówienie."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Wpisz poprawny kod pocztowy np. 02-2002 lub 022002"
"Please log in below:","Skorzystaj z logowania jeżeli posiadasz już konto w naszym sklepie"
"Please select region, state or province","Wybierz województwo"
"Please select shipping address for applicable items","Wybierz adres dostawy dla odpowiednich produktów"
"Please select shipping methods for all addresses","Wybierz metody wysyłki dla wszystkich adresów"
"Price","Cena"
"Proceed to Checkout","Przejdź do kasy"
"Product","Produkt"
"Product Name","Nazwa produktu"
"Product does not exist","Produkt nie istnieje"
"Qty","Ilość"
"Quote Lifetime (days)","Czas przechowywania zawartości koszyka (dni)"
"Recently added item(s)","Ostatnio dodane produkty"
"Register","Złóż zamówienie zakładając jednocześnie konto"
"Register and save time!","Zakładając konto oszczędzasz swój czas!"
"Register to Create an Account","Zarejestruj się i utwórz konto"
"Register with us for future convenience:","Zarejestruj się, aby korzystać z ułatwień:"
"Remove","Usuń"
"Remove Item","Usuń produkt"
"Remove Product","Usuń produkt"
"Remove item","Usuń element"
"Review Order","Podgląd zamówienia"
"Review Order - %s","Podgląd zamówienia - %s"
"Sales","Sprzedaże"
"Save Condition","Zapisz warunki"
"Save in address book","Zapisz w książce adresowej"
"Select Address","Wybierz adres"
"Select Addresses","Wybierz adresy"
"Select Shipping Method","Wybierz formę dostawy"
"Select State/Province...","Wybierz województwo..."
"Select a billing address from your address book or enter a new address.","Wybierz adres płatnika z książki adresowej lub utwórz nowy adres."
"Select a shipping address from your address book or enter a new address.","Wybierz adres dostawy z książki adresowej lub wpisz nowy adres."
"Send Payment Failed Email Copy Method","Wyślij kopię e-maila o nieudanej płatności metodą"
"Send Payment Failed Email Copy To","Wyślij kopię e-maila o nieudanej płatności do"
"Send to","Wyślij do"
"Ship to Multiple Addresses","Dostawa do wielu adresów"
"Ship to different address","Dostawa pod inny adres"
"Ship to this address","Dostawa pod ten adres"
"Shipping Address","Adres dla dostawy"
"Shipping Information","Informacje o dostawie"
"Shipping Method","Metoda dostawy"
"Shipping Methods","Formy dostawy"
"Shipping method has not been selected yet","Nie wybrano jeszcze formy dostawy"
"Shipping selection is not applicable","Wybór dostawy jest niedostępny"
"Shipping to","Dostawa do"
"Shopping Cart","Koszyk"
"Shopping Cart Sidebar","Koszyk w pasku bocznym"
"Shopping Cart is Empty","Koszyk jest pusty"
"Show Content as","Pokaż zawartość jako"
"Some of the products you requested are not available in the desired quantity","Niektóre z wybranych produktów nie są dostępne we wskazanej ilości"
"Some of the products you requested are unavailable","Niektóre z wybranych produktów nie są dostępne"
"Sorry, Onepage Checkout is disabled.","Niestety, składanie zamówienia w jednym kroku jest wyłączone."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Niestety, rozliczenie bez rejestracji jest niedostępne. Spróbuj ponownie lub skontaktuj się z właścicielem sklepu."
"Sorry, no quotes are available for this order at this time.","Niestety, żadne możliwości nie są dostępne dla tego zamówienia w chwili obecnej."
"State/Province","Województwo:"
"Status","Status"
"Store View","Widok sklepu"
"Street Address","Adres pocztowy"
"Street Address ","Ulica"
"Submitting order information...","Przetwarzanie zamówienia..."
"Subtotal","Wartość produktów"
"Telephone","Telefon"
"Terms and Conditions","Warunki składania zamówienia"
"Terms and Conditions Information","Informacja o warunkach składania zamówienia"
"Terms and conditions","Warunki składania zamówienia"
"Text","Tekst"
"Thank you for your purchase!","Dziękujemy za złożenie zamówienia!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","W Twoim koszyku znajduje się <a href=""%s""><strong>%s przedmiotów</strong></a>"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","W Twoim koszyku znajduje się <a href=""%s""><strong>1 przedmiot</strong></a>"
"There is already a customer registered using this email address","Ten adres e-mail jest już zarejstrowany"
"There was an error processing your order. Please contact us or try again later.","Wystąpił problem z przetwarzaniem zamówienia. Skontaktuj się z obsługa sklepu lub spróbuj później."
"This condition no longer exists","Ten warunek już nie istnieje"
"Total","Razem"
"Total for this address","Łącznie dla tego adresu"
"Unit Price","Cena jednostkowa"
"Update Qty &amp; Addresses","Aktualizuj ilość i adresy"
"Update Shopping Cart","Aktualizuj koszyk"
"Update Total","Aktualizuj sumę"
"Use Billing Address","Użyj adresu rozliczeniowego"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Przetwarzamy twoje zamówienie, wkrótce otrzymasz e-mail z jego szczegółami. Po wysłaniu przesyłki otrzymasz e-mail potwierdzający z linkiem do śledzenia statusu zamówienia."
"You have no items in your shopping cart.","Nie masz produktów w koszyku."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Otrzymasz e-mail potwierdzający szczegóły zamówienie z linkiem do śledzenia jego postępu."
"Your Checkout Progress","Postęp realizacji zamówienia"
"Your order # is: %s","Numer Twojego zamówienia to: %s"
"Your order # is: <a href=""%s"">%s</a>","Twój numer zamówienia: <a href=""%s"">%s</a>"
"Your order has been received","Zamówienie zostało przyjęte"
"Your order number is ","Numer twojego zamówienia to "
"Zip/Postal Code","Kod pocztowy"
"osCommerce Orders","Zamówienia osCommerce"
"separate by "",""","oddzielone przez "","""
"My Cart","Mój koszyk"
"You have no items in your shopping cart.","Nie masz produktów w koszyku."
"Checkout","Kasa"
"Shopping Cart is Empty","Koszyk jest pusty"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Kontynuuj zakupy</a>."
