"%s already exist","%s juĹĽ istnieje"
"%s already exists","%s juĹĽ istnieje"
"-- Please Select --","-- Prosimy wybraÄ‡ --"
"Please enter a valid email address. For example johndoe@domain.com.","Prosimy o wprowadzenie poprawnego adresu e-mail. Dla przykĹ‚adu: jankowalski@domena.pl."
"Please enter a valid number in this field.","Prosimy o wprowadzenie poprawnego numeru w tym polu."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Prosimy o wprowadzenie poprawnego numeru telefonu. Dla przykĹ‚adu: (012) 345 67 89 lub 012 345 6789."
"Please enter a valid social security number. For example 123-45-6789.","Prosimy o wprowadzenie poprawnego numeru ubezpieczenia spoĹ‚ecznego. Dla przykĹ‚adu: 123-45-6789."
"Please enter a valid zip code.","Prosimy o wprowadzenie poprawnego kodu pocztowego."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Prosimy o wprowadzenie poprawnego kodu pocztowego. Dla przykĹ‚adu: 90602 lub 90-602."
"Please enter valid password.","Prosimy o wprowadzenie poprawnego hasĹ‚a."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Upewnij siÄ™, ĹĽe bazowy URL koĹ„czy siÄ™ '/' (ukoĹ›nik), np. http://twojadomena/magento/"
"Please make sure your passwords match.","Prosimy upewniÄ‡ siÄ™, ĹĽe hasĹ‚a psujÄ… do siebie."
"Please select State/Province.","Prosimy o wybĂłr regionu."
"Please select an option.","Prosimy o wybranie opcji."
"Please select one of the above options.","Prosimy o wybĂłr jednej z powyĹĽszych opcji."
"Please select one of the options.","Prosimy o wybĂłr jednej z opcji."
"Please specify payment method.","Prosimy o wybĂłr metody pĹ‚atnoĹ›ci."
"Please specify shipping method.","Prosimy o wybĂłr metody dostawy."
"Please use letters only (a-z or A-Z) in this field.","Prosimy o uĹĽywanie jedynie liter (a-z lub A-Z) w tym polu."
"Please use letters only (a-z) in this field.","Prosimy o uĹĽywanie jedynie liter (a-z) w tym polu."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Prosimy o uĹĽywanie tylko liczb w tym polu. Prosimy o unikanie spacji, przecinkĂłw lub kropek."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Prosimy o uĹĽywanie jedynie liter (a-z or A-Z) lub cyfr (0-9) w tym polu. Spacje i inne znaki nie sÄ… dozwolone."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Prosimy o uĹĽywanie jedynie liter (a-z or A-Z), cyfr (0-9) lub spacji i # w tym polu."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Prosimy o uĹĽywanie jedynie liter (a-z), cyfr (0-9) lub podkreĹ›lnika (_) w tym polu, pierwszy znak powinien byÄ‡ literÄ…."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prosimy o uĹĽycie nastÄ™pujÄ…cego formatu daty: dd/mm/rrrr. Dla przykĹ‚adu: 17/03/2006."
"Please wait, loading...","Prosimy czekaÄ‡, trwa Ĺ‚adowanie..."
"Polls","Ankiety"
"Port (25)","Port (25)"
"Profiler","Skrypt profilujÄ…cy"
"Prototype Deprecation Log","Log starych wersji Prototype"
"Request path for specified store","Wymagaj Ĺ›cieĹĽki dla okreĹ›lonego sklepu"
"Requested invalid store ""%s""","WywoĹ‚ano nieprawidĹ‚owy sklep %s"""
"Resource is not set","ĹąrĂłdĹ‚o nie zostaĹ‚o okreĹ›lone"
"Root Category","Kategoria bazowa"
"SMTP settings (Windows server only)","Ustawienia SMTP (tylko dla serwerĂłw Windows)"
"Sales representative","Przedstawiciel handlowy"
"Save","Zapisz"
"Save Store","Zapisz sklep"
"Save Store View","Zapisz widok sklepu"
"Save Website","Zapisz witrynÄ™"
"Search Engines Optimization","Optymalizacja dla wyszukiwarek"
"Secure","Bezpieczny"
"Security","BezpieczeĹ„stwo"
"Select Date","Wybierz datÄ™"
"Sender email","Nadawca e-maila"
"Sender name","ImiÄ™ nadawcy"
"Services","UsĹ‚ugi"
"Session Cookie management","ZarzÄ…dzanie cookie"
"Session Lifetime, Seconds","Czas waĹĽnoĹ›ci sesji w sekundach"
"Session Validation Settings","Ustawienia walidacji sesji"
"Set as default","Ustaw jako domyĹ›lne"
"Skin (Images / CSS)","SkĂłrka (Obrazki / CSS)"
"Sort order","PorzÄ…dek sortowania"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Wybrana data/czas %1$s"" nie odpowiada formatowi ""%2$s""."""
"Specify either category or product, or both.","Sprecyzuj kategoriÄ™, produkt lub oba Ĺ‚Ä…cznie."
"Start date can't be greater than end date","Data poczÄ…tkowa nie moĹĽe byÄ‡ pĂłĹşniejsza niĹĽ data koĹ„cowa"
"Startup page","Strona startowa"
"Status","Status"
"Store","Sklep"
"Store Email Addresses","Adres e-mail sklepu"
"Store Information","Informacje o sklepie"
"Store Name","Nazwa sklepu"
"Store View","Widok sklepu"
"Store View Information","Informacje o widoku sklepu"
"Store View Name","Nazwa widoku sklepu"
"Store View was successfully saved","Widok sklepu zostaĹ‚ pomyĹ›lnie zapisany"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Kod sklepu powinien skĹ‚adaÄ‡ siÄ™ jedynie z liter (a-z), cyfr (0-9) lub podkreĹ›lenia (_), pierwszy znak powinien byÄ‡ literÄ…."
"Store doesn't exist","Sklep nie istnieje"
"Store view doesn't exist","Widok sklepu nie istnieje"
"Store view was successfully deleted.","Widok sklepu zostaĹ‚ usuniÄ™ty."
"Store was successfully deleted.","Sklep zostaĹ‚ pomyĹ›lnie usuniÄ™ty."
"Store was successfully saved","Sklep zostaĹ‚ pomyĹ›lnie zapisany."
"Store with the same code","Sklep z takim samym kodem"
"System","System"
"System Log File Name","Nazwa pliku systemowego logu"
"Template Path Hints","Podpowiedzi Ĺ›cieĹĽek szablonĂłw"
"Templates","Szablony"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Wprowadzony %s jest niepoprawny. Upewnij siÄ™ ze pasuje do formatu http://domena.pl/""."""
"Themes","Motywy"
"This category and all its child elements","Ta kategoria wraz ze wszystkimi jej podrzÄ™dnymi elementami"
"This category and its child categories only","Ta kategoria tylko ze wszystkimi jej podkategoriami"
"This category and its products only","Tylko ta kategoria i jej produkty"
"This category only","Tylko ta kategoria"
"This is a required field.","To pole jest wymagane."
"This store cannot be deleted","Ten sklep nie moĹĽe zostaÄ‡ usuniÄ™ty"
"This store cannot be deleted.","Ten sklep nie moĹĽe byÄ‡ usuniÄ™ty."
"This store view cannot be deleted","Ten widok sklepu nie moĹĽe zostaÄ‡ usuniÄ™ty"
"This store view cannot be deleted.","Ten widok sklepu nie moĹĽe byÄ‡ usuniÄ™ty."
"This website cannot be deleted","Ta witryna nie moĹĽe zostaÄ‡ usuniÄ™ta"
"This website cannot be deleted.","Ta witryna nie moĹĽe zostaÄ‡ usuniÄ™ta."
"This will be displayed just before body closing tag","To bÄ™dzie wyĹ›wietlane tuĹĽ przed zamykajÄ…cym znacznikiem body"
"This will be included before head closing tag in page HTML","To bÄ™dzie zaĹ‚Ä…czone przed znacznikiem zamykajÄ…cym sekcjÄ™ HEAD w HTML"
"Timezone","Strefa czasowa"
"Title Prefix","Przedrostek tytuĹ‚u"
"Title Suffix","Przyrostek tytuĹ‚u"
"Translate Inline","TĹ‚umaczenie liniowe"
"Translate cache should be disabled for both Frontend and Admin inline translations","PamiÄ™Ä‡ podrÄ™czna tĹ‚umaczeĹ„ powinna byÄ‡ wyĹ‚Ä…czona dla Katalogu i Admina"
"Translations","TĹ‚umaczenia"
"Unable to delete store view. Please, try again later.","Nie moĹĽna usunÄ…Ä‡ widoku sklepu. Prosimy sprĂłbowaÄ‡ pĂłĹşniej."
"Unable to delete store. Please, try again later.","Nie moĹĽna usunÄ…Ä‡ sklepu. Prosimy sprĂłbowaÄ‡ pĂłĹşniej."
"Unable to delete website. Please, try again later.","Nie moĹĽna usunÄ…Ä‡ witryny. Prosimy sprĂłbowaÄ‡ pĂłĹşniej."
"Unable to proceed. Please, try again","Nie moĹĽna kontynuowaÄ‡. Prosimy sprĂłbowaÄ‡ pĂłĹşniej"
"Unknown scope ""%s""","Nieznany zakres ""%s"""
"Unsecure","Niezabezpieczony"
"Url Options","Opcje URL"
"Use HTTP Only","UĹĽyj tylko HTTP"
"Use Secure URLs in Admin","UĹĽyj zabezpieczonych URLi dla admina"
"Use Secure URLs in Frontend","UĹĽyj zabezpieczonych URLi w katalogu"
"Use Web Server Rewrites","UĹĽywaj przekierowaĹ„ serwera"
"Use custom admin URL","UĹĽyj indywidualnego adresu URL dla admina"
"Validate HTTP_USER_AGENT","Waliduj HTTP_USER_AGENT"
"Validate HTTP_VIA","Waliduj HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Waliduj HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Waliduj REMOTE_ADDR"
"Values less than 60 are ignored.","WartoĹ›ci mniejsze niĹĽ 60 sÄ… ignorowane."
"Web","SieÄ‡"
"Website","Witryna"
"Website Information","Informacje o witrynie"
"Website Name","Nazwa witryny"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Kod strony powinien skĹ‚adaÄ‡ siÄ™ jedynie z liter (a-z), cyfr (0-9) lub podkreĹ›enia (_), pierwszy znak powinien byÄ‡ literÄ…."
"Website doesn't exist","Witryna nie istnieje"
"Website was successfully deleted.","Strona zostaĹ‚a pomyĹ›lnie usuniÄ™ta."
"Website was successfully saved","Strona zostaĹ‚a pomyĹ›lnie zapisana"
"Website with the same code","Witryna z takim samym kodem"
"Weekend Days","Dni weekendu"
"Welcome Text","Tekst powitalny"
"Wrong number of arguments for %s","ZĹ‚a liczba argumentĂłw dla %s"
"Yes","Tak"
"Your order can not be completed at this time as there is no payment methods available for it.","Twoje zamĂłwienie nie moĹĽe zostaÄ‡ zrealizowane, w chwili obecnej nie mamy dla niego odpowiedniej metody pĹ‚atnoĹ›ci."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Twoje zamĂłwienie nie moĹĽe zostaÄ‡ zrealizowane, w chwili obecnej nie mamy dla niego odpowiedniej metody dostawy. Prosimy wprowadziÄ‡ odpowiednie zmiany do swojego adresu dostawy."
"Your session has been expired, you will be relogged in now.","Twoja sesja wygasĹ‚a, zostaniesz zalogowany ponownie."
"Search","Szukaj"
"Go","Dalej"
"Search entire store here...","Przeszukaj caĹ‚y sklep..."
"Compare Products","PorĂłwnaj produkty"
"Back to Main Product Info","PowrĂłt do gĹ‚Ăłwnej informacji o produkcie"
"You have no items to compare.","Nie masz produktĂłw do porĂłwnania."
"Clear All","WyczyĹ›Ä‡ wszystko"
"Search entire store here...","Szukaj tutaj w caĹ‚ym sklepie..."
"Search","Szukaj"
"About the calendar","O kalendarzu"
"For latest version visit: %s","W celu pobrania najnowszej wersji odwiedĹş: %s"
"Distributed under GNU LGPL. See %s for details.","UdostÄ™pniane na licencji GNU LGPL. Zobacz %s, aby dowiedzieÄ‡ siÄ™ wiÄ™cej."
"Date selection:","WybĂłr daty:"
"- Use the %s, %s buttons to select year","- uĹĽyj przyciski %s, %s do wybrania roku"
"- Use the %s buttons to select month","- uĹĽyj przyciski %s do wybrania miesiÄ…ca"
"- Hold mouse button on any of the above buttons for faster selection.","- przytrzymaj przycisk myszy na jednym z powyĹĽszych przyciskĂłw dla szybszego wyboru."
"Time selection:","WybĂłr czasu:"
"- Click on any of the time parts to increase it","- kliknij na dowolnej jednostce czasu aby jÄ… zwiÄ™kszyÄ‡"
"- or click and drag for faster selection.","- lub kliknij i przeciÄ…gnij dla szybszego wyboru."
"Go Today","Dzisiaj"
"Next month (hold for menu)","NastÄ™pny miesiÄ…c (przytrzymaj dla menu)"
"Next year (hold for menu)","NastÄ™pny rok (przytrzymaj dla menu)"
"Select date","Wybierz datÄ™"
"Drag to move","PrzeciÄ…gnij, aby przemieĹ›ciÄ‡"
"Close","Zamknij"
"(Shift-)Click or drag to change value","Kliknij (z Shiftem) lub przeciÄ…gnij, aby zmieniÄ‡ wartoĹ›Ä‡"
"Time:","Czas:"
"DHTML Date/Time Selector","Dynamiczny selektor daty/czasu"
