"New E-Goi Customers","Nowi klienci E-Goi"
"Wrong Segment specified.","Wrong Segment specified."
"The segment has been saved.","The segment has been saved."
"An error occurred while saving the segment data. Please review the log and try again.","An error occurred while saving the segment data. Please review the log and try again."
"Segment was successfully deleted","Segment was successfully deleted"
"Another update is already being processed. Please wait until it finishes.","Another update is already being processed. Please wait until it finishes."
"Segment successfully refreshed","Segment successfully refreshed"
"Segment will be built next time the cron runs","Segment will be built next time the cron runs"
"Splits A/B","Splits A/B"
"Edit","Edit"
"Split Campaign does not exist","Split Campaign does not exist"
"Your deploy date cannot be earlier then <now>.","Your deploy date cannot be earlier then <now>."
"Split Campaign was successfully saved","Split Campaign was successfully saved"
"Unable to find Split Campaign to save","Unable to find Split Campaign to save"
"Invalid Version","Invalid Version"
"Unable to find Split Campaign","Unable to find Split Campaign"
"Unable to perform action. Please verify all requisites","Unable to perform action. Please verify all requisites"
"Split Campaign was successfully deleted","Split Campaign was successfully deleted"
"Report","Raport"
"Subscriber Manager","Subscriber Manager"
"Subscriber does not exist","Subscriber does not exist"
"Subscriber was successfully saved","Subscriber was successfully saved"
"Unable to find subscriber to save","Unable to find subscriber to save"
"Subscriber was successfully deleted","Subscriber was successfully deleted"
"Templates Manager","Zarządzanie wzorcami"
"Template does not exist","Wzorzec nie istniej"
"Template was successfully saved","Template was successfully saved"
"Unable to find template to save","Unable to find template to save"
"Template was successfully deleted","Template was successfully deleted"
"Urls","Urle"
"E-Goi Email Marketing","E-Goi Email Marketing"
"Configuration","Konfiguracja"
"APi Key","APi Key"
"Newsletter Subscription","Subskybcja newslettera"
"Require Subscription Confirmation","Wymagaj potwierdzenia subskrybcji"
"SMS Comments","SMS Comments"
"Number","Number"
"SMS sender's","SMS sender's"
"Invoices","Invoices"
"Enable sending SMS comments in Invoices","Enable sending SMS comments in Invoices"
"Orders","Zamówienia"
"Enable sending SMS comments in Orders","Enable sending SMS comments in Orders"
"Shippments","Przesyłki"
"Enable sending SMS comments in Shippments","Enable sending SMS comments in Shippments"
"Credit Memo","Credit Memo"
"Enable sending SMS comments in Credit Memos","Enable sending SMS comments in Credit Memos"
"Instant SMS Notifications","Instant SMS Notifications"
"Recipients","Recipients"
"This Phone list comes from the 'Mag Administrators' List","This Phone list comes from the 'Mag Administrators' List"
"New Order","New Order"
"Sends a Notification when a new Order is received","Sends a Notification when a new Order is received"
"New Review","New Review"
"Sends a Notification when a new Review is received","Sends a Notification when a new Review is received"
"New Tag","New Tag"
"Sends a Notification when a new Tag is received","Sends a Notification when a new Tag is received"
"Contact","Contact"
"Sends a new SMS Notification when a new contact from the contact-us page is made","Sends a new SMS Notification when a new contact from the contact-us page is made"
"Daily Report By SMS","Daily Report By SMS"
"Enable","Enable"
"Reports sent are form the previous day","Reports sent are form the previous day"
"Send Report Time:","Send Report Time:"
"Account - New","Account - New"
"Campaign - Open","Campaign - Open"
"Campaign - Clicked Any Campaign Link","Campaign - Clicked Any Campaign Link"
"Campaign - Clicked Specific Campaign Link","Campaign - Clicked Specific Campaign Link"
"Search - New","Search - New"
"Order - New Order","Order - New Order"
"Order - Bought Specific Product","Order - Bought Specific Product"
"Order - Order Status Changes","Order - Order Status Changes"
"Yearly","Yearly"
"Sunday","Sunday"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"January","January"
"February","February"
"March","March"
"April","April"
"May","May"
"June","June"
"July","July"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"
"Specific Day","Specific Day"
"On the %s %s of the month","On the %s %s of the month"
"On the last %s of the month","On the last %s of the month"
"Last Day of the Month ","Last Day of the Month "
"Dynamic Day","Dynamic Day"
"An error occurred while trying to send a campaing.","An error occurred while trying to send a campaing."
"E-Goi service response: %s","E-Goi service response: %s"
"Data sent to E-GOi:","Data sent to E-GOi:"
"Campaign Report: ERROR","Campaign Report: ERROR"
"Magento E-Goi Extension","Magento E-Goi Extension"
"Mag report: %s; ","Mag report: %s; "
"Didn't Open the Message","Nie otworzyli wiadomości"
"Open the Message","Otworzyli wiadomość"
"Didn't click the Message","Nie kliknęli w wiadomość"
"Click the Message","Kliknęli w wiadomość"
"No Conversion","Nie skonwertowali"
"Converted","Skonwertowali"
"Used For Customer SMS Notifications","Used For Customer SMS Notifications"
"Your background data sync updates have finished.","Your background data sync updates have finished."
"Your background segments updates have finished. Click <a href=""%s"">here</a> to view the results","Your background segments updates have finished. Click <a href=""%s"">here</a> to view the results"
"New contact submission. From: %s. Email: %s. Store: %s","New contact submission. From: %s. Email: %s. Store: %s"
"New tag submitted: %s. Store: %s","New tag submitted: %s. Store: %s"
"New review from %s. Store: %s. Title: %s","New review from %s. Store: %s. Title: %s"
"New order for: %s. Order total: %s. Base subtotal: %s","New order for: %s. Order total: %s. Base subtotal: %s"
"Products Attributes","Attrybuty produktu"
"Related Products From Last Completed Order","Produkty powiązane z poprzednio zrealizowanym zamówieniem"
"Related Products From Previous Completed Orders","Produkty powiązane z poprzednio zrealizowanymi zamówieniami"
"Products In Abandoned Cart","Produkty w porzuconym koszyku"
"Categories Views","Obejrzane kategoria"
"Wishlist Items","Produkty ulubione"
"Product Views","Obejrzane produkty"
"Recent Added","Ostatnio dodane"
"Days with an abandoned cart","Dni po porzuceniu koszyka"
"Days to anniversary","Dni do rocznicy"
"Customer Age","Wiek klienta"
"Days with a pending payment for an order","Dni oczekiwania na płatność"
"Days since last complete order","Dni od ostatniego zrealizowanego zamówienia"
"Days since first complete order","Dni od pierwszego zrealizowanego zamówienia"
"Days since last review","Dni od ostatniej opinii o produkcie"
"Days since last product tagged","Dni od ostatniego tagowania produktu"
"Days since account creation","Dni od utworzenia konta"
"Days since subscribe newsletter","Dni od subskrybcji newslettera"
"Number of Reviews","Ilość opinii o producie"
"Number of Tags","Ilość tagów"
"Number of Completed Orders","Ilość zrealizowanych zamówień"
"Percentage of Completed Orders","Procent zrealizowanych zamówień"
"Lifetime Sales Amount","Kwota zamówień całkowita"
"Lifetime Sales Average","Średnia kwota zamówienia"
"Percentage of Global Average Order Amount","Procent w stosunku do średniego zamówienia w sklepie"
"Subtotal","Suma częściowa"
"Total Items Quantity","Łączna ilość"
"Total Weight","łączna waga"
"Shopping Cart Total","Łączna wartośc koszyka"
"Number of Products In Shopping Cart","Liczba produktów w koszyku"
"Products Qty in Shopping Cart","Ilość produktów w koszyku"
"Payment Method","Metoda płatności"
"Shipping Method","Metoda dostawy"
"Shipping Postcode","Kod pocztowy"
"Shipping Region","Region dostawy"
"Shipping State/Province","Województwo dostawy"
"Shipping Country","Kraj dostawy"
"Ordered Date","Data zamówienia"
"Conditions Combination","Kombinacja warunków"
"Customer Attribute","Atrybut klienta"
"Customer Activity","Aktywność klienta"
"Newsletter Activity","Aktywność newslettera"
"Previous Order - Cart Attribute","Poprzednie zamówienie - atrybut koszyka"
"Previous Order - Product Attribute","Poprzednie zamówienie - atrybut produktu"
"Attribute Set","Zestaw atrybutu"
"Category","Kategoria"
"Percentage of Clicks Vs Opens","Procent klików do otwarć"
"Percentage of Clicks Vs Sent","Procent klików do wysłań"
"Percentage of Opens Vs Sent","Procent otwarć do wysłań"
"Percentage Conversions Vs Sent","Procent konwersji do wysłań"
"Conversions Amount","Kwota konwersji"
"Conversions Number","Liczba konwersji"
"Quantity in cart","Ilość w koszyku"
"Price in cart","Cena w koszyku"
"Row total in cart","Ilość linijek w koszyku"
"-- None --","-- brak --"
"Manually","Ręczny"
"-- Please Choose --","-- proszę wybrać --"
"Account Data","Dane konta"
"Extension News","Extension News"
"Extension Info","Extension Info"
"Current Version","Current Version"
"Latest Version","Latest Version"
"You are running an outdated version of this extension. Please update as soon as possible.","You are running an outdated version of this extension. Please update as soon as possible."
"You are running the latest version of this extension.","You are running the latest version of this extension."
"Informations/Requests","Informations/Requests"
"Click <a href=""%s"">here</a> to submit a bug report or an information request","Click <a href=""%s"">here</a> to submit a bug report or an information request"
"Sync Data","Sync Data"
"Click here to sync Mage/E-Goi data now.","Click here to sync Mage/E-Goi data now."
"This proccess may take a few minutes","This proccess may take a few minutes"
"Brougth to you by: Licentia.pt","Brougth to you by: Licentia.pt"
"images/fidelitas/logo.png","images/fidelitas/logo.png"
"Licentia Logo","Licentia Logo"
"If you already have an E-Goi account please ","If you already have an E-Goi account please "
"Existing E-Goi Customers","Existing E-Goi Customers"
"How to add a new sender","How to add a new sender"
"To add senders to your account please login into your E-Goi account and navigate to 'MY ACCOUNT'/'SENDERS'/'ADD SENDER'. After that click %s to test again","To add senders to your account please login into your E-Goi account and navigate to 'MY ACCOUNT'/'SENDERS'/'ADD SENDER'. After that click %s to test again"
"Load template","Załaduj wzorzec"
"Load Template","Załaduj wzorzec"
"Template","Template"
"You don't have any template","You don't have any template"
"Subscriber Id:","Subscriber Id:"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Log Detail","Log Detail"
"Log Details","Log Details"
"Upssss","Upssss"
"No data found. Try refreshing the report once again.","No data found. Try refreshing the report once again."
"Email Client","Email Client"
"Desktop Client","Desktop Client"
"Webmail","Webmail"
"Mobile","Mobile"
"Email Cliente","Email Cliente"
"No data","No data"
"Opens %s","Opens %s"
"Unopens %s","Unopens %s"
"Sent %s","Wysłano %s"
"Bounces %s","Bounces %s"
"Metrics","Metrics"
"Messages sent","Messages sent"
"Delivered messages","Delivered messages"
"Bounces","Bounces"
"Unopens","Unopens"
"Unique opens","Unique opens"
"Opens","Opens"
"Unique clickthroughs","Unique clickthroughs"
"Clickthroughs","Clickthroughs"
"Clickthroughs Rate","Clickthroughs Rate"
"Complaint Rate","Complaint Rate"
"Complaints","Complaints"
"Opt-outs","Opt-outs"
"Engagement","Engagement"
"Outgoing","Outgoing"
"Amount of opens compared with unopens. The more opens, the more engaging your campaign and the higher your overall effectiveness will be. This is key to optimize deliverability for your next campaigns.","Amount of opens compared with unopens. The more opens, the more engaging your campaign and the higher your overall effectiveness will be. This is key to optimize deliverability for your next campaigns."
"Amount of <b>delivered</b> messages compared with e-mails which <b>bounced back</b> (eg. invalid address, mailbox full, etc.). If your mailing list is <b>clean</b> and <b>up-to-date</b>, your delivery rate should almost always be 99%-100%.","Amount of <b>delivered</b> messages compared with e-mails which <b>bounced back</b> (eg. invalid address, mailbox full, etc.). If your mailing list is <b>clean</b> and <b>up-to-date</b>, your delivery rate should almost always be 99%-100%."
"Recommendations Success","Recommendations Success"
"Facebook","Facebook"
"Tweets","Tweets"
"Other Social","Other Social"
"Total","Total"
"Total City","Total City"
"SMS Sent","SMS Sent"
"Delivered","Delivered"
"Not Delivered","Not Delivered"
"Invalid","Invalid"
