"DHL Service Error", "Serwer DHL zwrócił błąd"
"DHL Service Error: %s", "Serwer DHL zwrócił błąd: %s"
"Service Error. Shipment Canceled. Please try again later.", "Serwer zwrócił błąd. Przesyłka została anulowana. Proszę sprawdzić szczegóły błędów w historii zamówienia."
"Customer","Klient"
"Shipped","Wysłane"
"Delivered","Dostarczone"
"Canceled","Anulowane"
"Reset","Wyczyść filtr"
"View","Przeglądaj"
"Zip code in shipment address is not valid. There will be a problem when shipping to that address.","Kod pocztowy w adresie wysyłki nie jest poprawny. Wysyłka na ten adres może okazać się niemożliwa."
"Zip code in shipment address is not valid.","Kod pocztowy w adresie wysyłki nie jest poprawny."
"Action","Akcja"
"Non standard Package","Paczka niestandardowa NST"
"Dimensions","Wymiary (cm)"
"Package","Paczka"
"Envelope","Koperta"
"Save","Zapisz"
"Delete","Usuń"
"Actions","Akcje"
"From", "Od"
"To","Do"
"Shipping creation fail","Tworzenie listu przewozowego i przesyłki nie udało się."
"Label(s) printed","List wygenerowany"
"Split","Podziel"
"The following items will be split out to another order","Te produkty zostaną wydzielone do osobnego zamówienia"
"Edit shipping cost","Edycja kosztów wysyłki"
"Items of %s","Produkty zamówienia %s"
"You are about to confirm order realisation. Are you sure?","Potwierdź akceptację zamówienia do realizacji."
"Order release confirmed","Zamówienie zaakceptowane do realizacji"
"Tracking ID has been added","Wygenerowano przesyłkę i list przewozowy"
"PO status changed from '%s' to '%s'","Zmieniono status zamówienia z '%s' na '%s'"
"Name","Nazwa"
"Order %s has invaild status","Zamówienie nr %s ma nieprawidłowy status"
"PO Status changed to shipped", "Zamiana statusu na wysłane"
"Type (algorithm)", "Typ (algorytm)"
"Promotion name", "Promocja"
"Discount per item", "Zniżka jednostkowa"
"Discount sponsored by", "Rabat finansowany przez"
"Shipping amount has been changed","Koszt transportu zamówienia został zmieniony"
"Item changed","Pozycja została zmieniona"
"Shipping cost changed","Koszt transportu został zmieniony"
"PO status changed from %s to %s","Status PO zmieniony z %s na %s"
"[PO status changed from '%s' to '%s']","[Status PO zmieniony z '%s' na '%s']"
"PO status changed from %s to %s","Zmieniono status zamówienia z %s na %s"
"Manual discount", "Rabat ustawiony ręcznie"
"%d order processed","Przetworzono zamówień: %d"
"Are you sure?","Czy jesteś pewien?"
"Dispatch list removed.","Zbiorówka została usunięta."
"Shipping canceled.","Przesyłka została anulowana."
"Item saved","Pozycja zapisana"
"Manual discount","Zniżka wprowadzona ręcznie"
"Loading...","Trwa komunikacja z serwerem..."
"Overpayment created","Utworzono nadpłatę"
"Amount due","Niedopłata"
"Underpaid","Niedopłata"
"Overpaid","Nadpłata"
"Outstanding amount","Nadpłata"
"Discount","Zniżka za sztukę"
"Transaction","Transakcja"
"Details","Szczegóły"
"Operator","Operator"
"Amount","Wartość"
"Payment details","Szczegóły płatności"
"Cash on delivery","Za pobraniem"
"banktransfer","Przelew"
"Order amount","Wartość zamówienia"
"Create overpayment","Stwórz nadpłatę"
"Allocate","Przydziel"
"You do not have permission to this function","Nie masz uprawnień do tej funkcji"
"Cancel","Anuluj"
"Allocate to the current order","Przydziel do bieżącego zamówienia"
"Customer overpayments","Nadpłaty kupującego"
"Edit","Edycja"
"Shipping canceled.","Przesyłka anulowana."
"-- Please Select --","-- proszę wybrać --"
"Change","Zmień"
"Remove Item","Usuń linijkę"
"Message sent via email","Wiadomość została wysłana emailem"
"Tracking ID","Numer listu przewozowego"
"Address restored","Adres został przywrócony z momentu składania zamówienia"
"Searching...","Wyszukuję..."
"Please enter 1 more character","Proszę wprowadzić jeszcze jeden znak"
"Item %s has been removed","Produkt %s został usunięty z zamówienia"
"of","z"
"Purchase Order(s): %s has currently dispatch ref.","Zamówienie: %s jest juz na zbiorówce."
"Delivery date","Data dostarczenia"
"Email template when vendor send message to customer","Szablon emaila kiedy sprzedawca wysyła wiadomość do kupującego"
"Edit","Edytuj"
"Order %s has invalid status","Zamówienie %s ma nieprawidłowy status"
"Shipment cannot be created with this status.", "Przesyłka nie może być utworzona w tym statusie"
"Empty track number", "Brak numeru listu przewozowego"
"%s Service Error: %s", "Błąd serwisu %s: %s"
"Tracking Error: %s", "Błąd generowania listu przewozowego: %s"
"Empty carrier name", "Brak nazwy kuriera"
"Invaild zip code","Niepoprawny kod pocztowy"
"Order #%s is not valid","Zamówienie #%s nie jest poprawne"
"Order #%s has invalid status","Zamówienie #%s ma nieprawidłowy status"
"Invalid status for this operation.","Nieprawidłowy status dla tej operacji"
"Invalid first name","Nieprawidłowe imię"
"Invalid last name","Nieprawidłowe nazwisko"
"Invalid telephone","Nieprawidłowy numer telefonu"
"Invalid street","Nieprawidłowa ulica"
"Invalid city","Nieprawidłowe miasto"
"Invalid postcode","Nieprawidłowy kod pocztowy"
"(SALE)","(Wyprzedaż)"
"(PROMOTION)","(Promocja)"
"Link to","Link do produktu"
"No reservation in vendor's system","Brak rezerwacji w systemie sprzedawcy"
"Products reservations in vendor's system could not be made","Brak rezerwacji do zamówienia w systemie sprzedawcy"
"price is incorrect","cena jest nieprawidłowa"
"No comments currently added","Brak wpisów w historii"
"POS","POS (Punkt sprzedaży)"
"You are not allowed to operate this order","Nie masz uprawnień do obsługi tego zamówienia"
"Failed to get waybill","Nie udało się pobrać listu przewozowego"
"DHL Service Error. Failed to get waybill.","Błąd serwisu DHL. Nie udało się pobrać listu przewozowego."
"Selected package's size volumetric weight is bigger than weight set up in first step. Values has been adjusted.","Waga wolumetryczna wybranej wielkości paczki jest większa niż waga ustawiona wyżej. Wartości zostały automatycznie dostosowane"
"You don't have access to %s DHL Account","Nie masz uprawnień do korzystania z konta DHL %s"
"You cannot cancel shipment that has been already sent","Nie można anulować przesyłki, która została już wysłana."
"Need invoice","Wymaga faktury"
"Price: ","Cena: "
"Shipping address changed (%s)","Zmiana adresu dostawy (%s)"
"Billing address changed (%s)","Zmiana adresu faktury (%s)"
"InPost shipping address changed (%s)","Zmiana adresu dostawy InPost (%s)"
"Create RMA","Utwórz RMA"
"Select a reason","Wybierz przyczynę"
"Include Shipping Cost","Zawiera koszt wysyłki"
"Choose at least one product","Wybierz przynajmniej jeden produkt"
"Create label","Wystaw"
"grams","gramów"
"Send Pick Up Email","Zawiadom klienta o odbiorze"
"Are you sure you want to send information about pick up to customer?","Czy na pewno chcesz wysłać informację o odbiorze do klienta?"
"You have send mail to customer","Wysłałeś mail do klienta"
"Ready to pick up","Gotowe do odbioru"
"Payment type changed","Zmieniono typ płatności"
"Change Payment","Zmiana płatności"
"Choose New Payment Type","Wybierz nowy typ płatności"
"Payment method","Typ płatności"
"Payment type changed","Zmieniono typ płatności"
"Pickup Point","Odbiór osobisty"
"RUCH point","Kiosk RUCHu"
"City","Miasto"
"Ready to pick up","Gotowe do odbioru"
"Item changed %s (%s)","Zmieniono produkt %s (%s)"
"Reservation flag set","Stan magazynowy zarezerwowany"
"Reservation flag deleted","Bez rezerwacji stanu magazynowego"
"Product out of stock","Brak produktu na magazynie"
"Product %s out of stock","Brak produktu %s na magazynie"
"Not enough stock. On stock is %s items","Niewstarczająca liczba produktów. Na stanie pozostało %s sztuk"
"Not enough stock of %s. On stock is %s items","Niewystarczająca liczba sztuk produktu %s. Na stanie pozostało %s sztuk"
"Reservation flag set","Stan magazynowy zarezerwowany"
"Reservation flag removed","Usunięto rezerwację stanów magazynowych"
